uid,icefall_name,ice_lat,ice_lon,station_id,station_name,source,station_lat,station_lon,dist_km,icefall_elev_m,elev_diff_m,has_temp,has_precip,has_rh_or_td,ice_topo_pos,station_topo_pos,topo_pos_diff,path_barrier_m,same_valley_dem,thermal_score
1,Mannerschnitte,47.18785309,10.91448647,136,Umhausen,GeoSphere,47.13917,10.92889,5.527937693785076,946.551025390625,-88.448974609375,TRUE,TRUE,TRUE,0.4183185235816815,0.26351813826146475,0.15480038532021673,597.2767285156249,FALSE,8.282568200331664
2,Baselayer,47.18157945,10.92174323,136,Umhausen,GeoSphere,47.13917,10.92889,4.751889359789727,1357.6910400390625,322.6910400390625,TRUE,TRUE,TRUE,0.46767020184741703,0.26351813826146475,0.20415206358595228,472.88556640625006,FALSE,7.74261541627024
3,Zapfenstreich,47.1814644,10.90196581,136,Umhausen,GeoSphere,47.13917,10.92889,5.130325792541421,980.32098388671875,-54.67901611328125,TRUE,TRUE,TRUE,0.49538145740677386,0.26351813826146475,0.2318633191453091,13.959887695312545,TRUE,5.962613290260551
4,Zwei Welten,47.1814644,10.90196581,136,Umhausen,GeoSphere,47.13917,10.92889,5.130325792541421,980.32098388671875,-54.67901611328125,TRUE,TRUE,TRUE,0.49538145740677386,0.26351813826146475,0.2318633191453091,13.959887695312545,TRUE,5.962613290260551
6,Kalte Dusche,47.17457496,10.91958106,136,Umhausen,GeoSphere,47.13917,10.92889,4.003758831374214,1197.489990234375,162.489990234375,TRUE,TRUE,TRUE,0.5355677154582763,0.26351813826146475,0.27204957719681155,504.9188427734375,FALSE,6.925807909644336
7,Sibirien,47.17457496,10.91958106,136,Umhausen,GeoSphere,47.13917,10.92889,4.003758831374214,1197.489990234375,162.489990234375,TRUE,TRUE,TRUE,0.5355677154582763,0.26351813826146475,0.27204957719681155,504.9188427734375,FALSE,6.925807909644336
8,Vorsaison,47.17457496,10.91958106,136,Umhausen,GeoSphere,47.13917,10.92889,4.003758831374214,1197.489990234375,162.489990234375,TRUE,TRUE,TRUE,0.5355677154582763,0.26351813826146475,0.27204957719681155,504.9188427734375,FALSE,6.925807909644336
9,Golden Shower,47.15611614,10.9050394,136,Umhausen,GeoSphere,47.13917,10.92889,2.6113727487337908,1097.0799560546875,62.0799560546875,TRUE,TRUE,TRUE,0.4331623931623932,0.26351813826146475,0.16964425490092844,0,TRUE,3.2755054035732947
10,Reichalm Fall,47.16324699,10.94194281,136,Umhausen,GeoSphere,47.13917,10.92889,2.8565945704569753,1613.6590576171875,578.6590576171875,TRUE,TRUE,TRUE,0.25265320095857585,0.26351813826146475,0.0108649373028889,61.14206542968759,TRUE,4.335837026408611
11,Dripping Elegance,47.12597744,10.90943499,136,Umhausen,GeoSphere,47.13917,10.92889,2.080267662136953,1762.8399658203125,727.8399658203125,TRUE,TRUE,TRUE,0.6071917808219178,0.26351813826146475,0.3436736425604531,0,FALSE,4.9308885043690935
12,Nachtfalter,47.10893708,10.95374477,136,Umhausen,GeoSphere,47.13917,10.92889,3.8562665155685973,1252.68896484375,217.68896484375,TRUE,TRUE,TRUE,0.39200273410799724,0.26351813826146475,0.1284845958465325,291.1788085937501,FALSE,5.63065794959257
13,Spongebob,47.10119125,10.96701683,136,Umhausen,GeoSphere,47.13917,10.92889,5.120056150732976,1747.822021484375,712.822021484375,TRUE,TRUE,TRUE,0.46253848785494356,0.26351813826146475,0.1990203495934788,50.26695800781249,TRUE,7.4991722532243505
14,Drytooling Klettergarten,47.09844413,10.95780488,136,Umhausen,GeoSphere,47.13917,10.92889,5.034966810425476,1166.8260498046875,131.8260498046875,TRUE,TRUE,TRUE,0.5034223134839151,0.26351813826146475,0.23990417522245033,354.7136474609374,FALSE,7.183099050448295
15,Triple Direkt,47.0869413,10.94041113,136,Umhausen,GeoSphere,47.13917,10.92889,5.879223217329125,1278.708984375,243.708984375,TRUE,TRUE,TRUE,0.5359342915811088,0.26351813826146475,0.2724161533196441,80.14616699218755,TRUE,7.306328806194308
16,Guillotine,47.08371193,10.944314,136,Umhausen,GeoSphere,47.13917,10.92889,6.283182427534589,1177.373046875,142.373046875,TRUE,TRUE,TRUE,0.4948630136986301,0.26351813826146475,0.23134487543716536,164.302724609375,FALSE,7.670360569471086
17,Mixed Klettergarten Liftspur,47.08286448,10.96371174,LBRE2,Breiter Grieskogel Schneestation,LWD,47.0839527777778,11.0273833333333,4.827897642908611,1190.5830078125,-1194.4169921875,TRUE,FALSE,TRUE,0.5812521382141635,0.50580997949419,0.0754421587199735,80.61337890625009,TRUE,8.04272011516228
18,Esso Mixed,47.07002952,10.97153602,LBRE2,Breiter Grieskogel Schneestation,LWD,47.0839527777778,11.0273833333333,4.508584036256097,1203.1390380859375,-1181.8609619140625,TRUE,FALSE,TRUE,0.5095890410958904,0.50580997949419,0.003779061601700384,21.440380859375182,TRUE,7.474573625846355
19,Badle,47.07002952,10.97153602,LBRE2,Breiter Grieskogel Schneestation,LWD,47.0839527777778,11.0273833333333,4.508584036256097,1203.1390380859375,-1181.8609619140625,TRUE,FALSE,TRUE,0.5095890410958904,0.50580997949419,0.003779061601700384,21.440380859375182,TRUE,7.474573625846355
20,Burgsteiner Mixed,47.06117835,10.96930442,LBRE2,Breiter Grieskogel Schneestation,LWD,47.0839527777778,11.0273833333333,5.081028452927741,1338.0789794921875,-1046.9210205078125,TRUE,FALSE,TRUE,0.493844049247606,0.50580997949419,0.011965930246584044,0,TRUE,7.734228794937025
21,Mixed Klettergebiet,47.05883952,10.96612868,LBRE2,Breiter Grieskogel Schneestation,LWD,47.0839527777778,11.0273833333333,5.420710906569744,1283.89697265625,-1101.10302734375,TRUE,FALSE,TRUE,0.6214090287277702,0.50580997949419,0.11559904923358011,0,TRUE,8.52026562262986
22,Nordstau,47.05883952,10.96612868,LBRE2,Breiter Grieskogel Schneestation,LWD,47.0839527777778,11.0273833333333,5.420710906569744,1283.89697265625,-1101.10302734375,TRUE,FALSE,TRUE,0.6214090287277702,0.50580997949419,0.11559904923358011,0,TRUE,8.52026562262986
23,Pokerface,47.05883952,10.96612868,LBRE2,Breiter Grieskogel Schneestation,LWD,47.0839527777778,11.0273833333333,5.420710906569744,1283.89697265625,-1101.10302734375,TRUE,FALSE,TRUE,0.6214090287277702,0.50580997949419,0.11559904923358011,0,TRUE,8.52026562262986
24,New Life,47.05883952,10.96612868,LBRE2,Breiter Grieskogel Schneestation,LWD,47.0839527777778,11.0273833333333,5.420710906569744,1283.89697265625,-1101.10302734375,TRUE,FALSE,TRUE,0.6214090287277702,0.50580997949419,0.11559904923358011,0,TRUE,8.52026562262986
25,Via Ali,47.06047859,10.94324338,LBRE2,Breiter Grieskogel Schneestation,LWD,47.0839527777778,11.0273833333333,6.893706739973286,2002.720947265625,-382.279052734375,TRUE,FALSE,TRUE,0.5541880341880342,0.50580997949419,0.04837805469384415,17.446113281249836,TRUE,7.994538535890756
26,Lucky Strike,47.01162268,10.96634326,SGIG2,Giggijoch,LWD,46.972983,10.966994,4.301633293968032,1772.574951171875,-759.425048828125,TRUE,FALSE,TRUE,0.07534246575342465,0.47842465753424657,0.40308219178082194,351.6958984375001,FALSE,8.496226085130811
27,Fritz Phantom,47.00661867,10.9737247,SGIG2,Giggijoch,LWD,46.972983,10.966994,3.7790260839639873,2495.14599609375,-36.85400390625,TRUE,FALSE,TRUE,0.5656634746922025,0.47842465753424657,0.0872388171579559,428.5771191406252,FALSE,5.527186021765981
