uid,icefall_name,station_id,station_name,icefall_cap_potential,icefall_cap_class,icefall_cap_confidence,station_cap_potential,station_cap_class,station_cap_confidence,cap_delta,cap_delta_positive,cap_pair_confidence
1,Mannerschnitte,136,Umhausen,0.42504263920924673,medium,1.0,0.32202879033410065,low,1.0,0.10301384887514609,0.10301384887514609,1.0
2,Baselayer,136,Umhausen,0.34318825822000726,low,1.0,0.32202879033410065,low,1.0,0.021159467885906613,0.021159467885906613,1.0
3,Zapfenstreich,136,Umhausen,0.35834720049042235,low,1.0,0.32202879033410065,low,1.0,0.0363184101563217,0.0363184101563217,1.0
4,Zwei Welten,136,Umhausen,0.35834720049042235,low,1.0,0.32202879033410065,low,1.0,0.0363184101563217,0.0363184101563217,1.0
6,Kalte Dusche,136,Umhausen,0.36972005644086164,low,1.0,0.32202879033410065,low,1.0,0.047691266106761,0.047691266106761,1.0
7,Sibirien,136,Umhausen,0.36972005644086164,low,1.0,0.32202879033410065,low,1.0,0.047691266106761,0.047691266106761,1.0
8,Vorsaison,136,Umhausen,0.36972005644086164,low,1.0,0.32202879033410065,low,1.0,0.047691266106761,0.047691266106761,1.0
9,Golden Shower,136,Umhausen,0.3783718058408675,low,1.0,0.32202879033410065,low,1.0,0.05634301550676685,0.05634301550676685,1.0
10,Reichalm Fall,136,Umhausen,0.5411416836296706,medium,1.0,0.32202879033410065,low,1.0,0.21911289329557,0.21911289329557,1.0
11,Dripping Elegance,136,Umhausen,0.1414632698554727,low,1.0,0.32202879033410065,low,1.0,-0.18056552047862795,0.0,1.0
12,Nachtfalter,136,Umhausen,0.4854966735259926,medium,1.0,0.32202879033410065,low,1.0,0.16346788319189193,0.16346788319189193,1.0
13,Spongebob,136,Umhausen,0.3666428979038537,low,1.0,0.32202879033410065,low,1.0,0.044614107569753036,0.044614107569753036,1.0
14,Drytooling Klettergarten,136,Umhausen,0.6324394300774848,medium,1.0,0.32202879033410065,low,1.0,0.3104106397433842,0.3104106397433842,1.0
15,Triple Direkt,136,Umhausen,0.37091947925455565,low,1.0,0.32202879033410065,low,1.0,0.048890688920455005,0.048890688920455005,1.0
16,Guillotine,136,Umhausen,0.42183704692457846,medium,1.0,0.32202879033410065,low,1.0,0.09980825659047782,0.09980825659047782,1.0
17,Mixed Klettergarten Liftspur,LBRE2,Breiter Grieskogel Schneestation,0.40368411771664664,medium,1.0,0.331895534416485,low,1.0,0.07178858330016163,0.07178858330016163,1.0
18,Esso Mixed,LBRE2,Breiter Grieskogel Schneestation,0.4836634570472623,medium,1.0,0.331895534416485,low,1.0,0.15176792263077732,0.15176792263077732,1.0
