uid;name;latitude;longitude;hoehe_dgm5m;erstbegehnung;schwierigkeit;eisfallhhe;zustieg;abstieg;beschreibung;ausrichtung;topo_url;url;himmelsrichtung
1;Mannerschnitte;47,18785309;10,91448647;951.4833984375;Karl Dung & Hansj”rg Auer, 19. Dezember 2013;WI5-/M4;6 SL;;Abseilen Route orografisch rechts;Abseilschlingen z.T. belassen;309;https://ice.oetztalclimbing.com/topo/detail/mannerschnitte.html;;NW
2;Baselayer;47,18157945;10,92174323;1359.78515625;Hansj”rg Auer;WI4/M5;300 m, Bis zum Band in Wandmitte;;orographisch links;Eisspur nur ?õu?erst selten vorhanden.;15;https://ice.oetztalclimbing.com/topo/detail/baselayer.html;;N
3;Zapfenstreich;47,1814644;10,90196581;977.75042724609375;Thomas Scheiber & Hansj”rg Auer;M9;3 SL;;Abseilen ber Rampe orographisch rechts;"Mit Bohrhaken abgesichert. leider zum Teil knstliche Hooks. Viele M”glichkeiten an den Platten weiter links (""Spider"", ""El Gringo"") bevor ganz links die ?Ž–Zwei Welten?Ž£ kommen.";15;https://ice.oetztalclimbing.com/topo/detail/zapfenstreich.html;;N
4;Zwei Welten;47,1814644;10,90196581;977.75042724609375;Gerry Fiegl & Paul Mair;WI4/M8;6 SL;;Abseilen ber die Route.;"Sch”ne M8-Stelle unten ber ein Rissdach. Ausstieg oben auch ber links m”glich (""Fix und Foxi"").";107;https://ice.oetztalclimbing.com/topo/detail/zwei-welten.html;;O
5;Mannerschnitte;47,18785309;10,91448647;951.4833984375;Karl Dung & Hansj”rg Auer;WI5-/M4;6 SL;;Abseilen ber die Route orographisch rechts.;Abseilschlingen zum Teil belassen.;309;https://ice.oetztalclimbing.com/topo/detail/mannerschnitte.html;;NW
6;Kalte Dusche;47,17457496;10,91958106;1185.04345703125;Karl Dung & Hansj”rg Auer;WI5;2 SL;Direkt hinter dem Fu?ballplatz Tumpen ber einen alten Fu?weg (ca. 40 Minuten).;Abseilen siehe ?Ž–Sibirien?Ž£.;Im Winter 2018 deutlich bessere Eisbedingungen als w?õhrend der Erstbegehung im Dezemer 2013.;15;https://ice.oetztalclimbing.com/topo/detail/kalte-dusche.html;;N
7;Sibirien;47,17457496;10,91958106;1185.04345703125;Lukas Riml & Hansj”rg Auer;WI6/M6;3 SL;Direkt hinter dem Fu?ballplatz Tumpen ber einen alten Fu?weg (ca. 40 Minuten).;Abseilen ber markierte Route (siehe šbersichtsbild). Schlingen und Haken vorhanden.;Alle Normalhaken belassen.;273;https://ice.oetztalclimbing.com/topo/detail/sibirien.html;;W
8;Vorsaison;47,17457496;10,91958106;1185.04345703125;Karl Dung & Hansj”rg Auer;WI5+/M6-;3 SL;Direkt hinter dem Fu?ballplatz Tumpen ber einen alten Fu?weg (ca. 40 Minuten).;Abseilen siehe ?Ž–Sibirien?Ž£.;Einen Normalhaken verwendet und belassen. Im Winter 2018 deutlich bessere Eisbedinungen als w?õhrend der Erstbegehung im Dezemer 2013.;15;https://ice.oetztalclimbing.com/topo/detail/vorsaison.html;;N
9;Golden Shower;47,15611614;10,9050394;1091.194091796875;Alex Blmel & Hansj”rg Auer;WI6;3 SL;;Abseilen orographisch rechts an B?õumen.;Sehr r”hrige, letzte Seill?õnge.;15;https://ice.oetztalclimbing.com/topo/detail/golden-shower.html;;N
10;Reichalm Fall;47,16324699;10,94194281;1614.128662109375;Stefan Holzknecht & Reini Obweger;WI5;6 SL;;šber den Wanderweg Reichalm-Farst;Oft hintersplt und abgel”st. Vorsicht! Sehr langer und etwas komplizierter Zustieg.;188;https://ice.oetztalclimbing.com/topo/detail/reichalm-fall.html;;S
11;Dripping Elegance;47,12597744;10,90943499;1767.6766357421875;Gerry Fiegl & Albert Leichtfried;WI5+/M10;3 SL;;Abseilen ber die Route.;Mit Bohrhaken abgesichert. šbersichtsbild Winter 2018. Mehr Info: https://www.albertleichtfried.at/index.php?id=67&no_cache=1&tx_ttnews[tt_news]=157;115;https://ice.oetztalclimbing.com/topo/detail/dripping-elegance.html;;SO
12;Nachtfalter;47,10893708;10,95374477;1260.4178466796875;Marc & Tobias Holzknecht;WI5-/M4;4 SL;;Abseilen ber die Route oder Normalabstieg vom Sommer.;Immer entlang der Sportkletterroute ?Ž–Tr?õumerei?Ž£. Links der klassische ?Ž–Eiserner Vorhang?Ž£ (WI5+).;15;https://ice.oetztalclimbing.com/topo/detail/nachtfalter.html;;N
13;Spongebob;47,10119125;10,96701683;1746.008056640625;Heiko Wilhelm & Hansj”rg Auer;WI7-;2 SL;šber Wanderweg Dorf-Untere Hemrachalm (ca. 1,5h).;Abseilen ber die Route.;"Anspruchsvolle, zweite Seill?õnge. šbersichtsbild Winter 2018. Etwas weiter n”rdlich befindet sich das klassische ?Ž–Rauschwandle?Ž£ (WI6-) mit vielen M”glichkeiten (siehe Querformatbild). Weiter unterhalb, n”rdlich vom Bachverlauf, gibt es ebenfalls einige zus?õtzliche Klettereien. (""Das Gelbe vom Ei"", WI6+ oder als Mixed Variante: ""Feingold"", WI6+/M). Gut sichtbar vom Ort Au. Mehr Info dazu: https://www.albertleichtfried.at/index.php?id=67&no_cache=1&tx_ttnews[tt_news]=155";15;https://ice.oetztalclimbing.com/topo/detail/spongebob.html;;N
14;Drytooling Klettergarten;47,09844413;10,95780488;1176.862548828125;Reini Obweger, David & Mathias N”ssig;;1 SL;;;Drytooling-Trainingsgel?õnde mit zum Teil gebohrten Hooks.;239;https://ice.oetztalclimbing.com/topo/detail/drytooling-klettergarten.html;;SW
15;Triple Direkt;47,0869413;10,94041113;1276.218994140625;Lukas Riml & Hansj”rg Auer;WI6/M4;4 SL;;Abseilen ber Wasserfall orographisch rechts.;Hinweis: Links leichter Wasserfall. Auch knapp 200m weiter rechts sch”nes Eis auf Platten.;55;https://ice.oetztalclimbing.com/topo/detail/triple-direkt.html;;NO
16;Guillotine;47,08371193;10,944314;1176.030517578125;Gerry Fiegl mit Partnern;WI6+/M7+;1 SL;;Abstieg ber Klettersteig.;Ein Normalhaken am Einstieg mit langer Bandschlinge. šbersichtsbild Winter 2018. Hinweis: ?Ž–Lehner Wasserfall?Ž£ (WI5+) knapp links selten m”glich.;49;https://ice.oetztalclimbing.com/topo/detail/guillotine.html;;NO
17;Mixed Klettergarten Liftspur;47,08286448;10,96371174;1193.1845703125;Stefan Holzknecht, Reini Obweger, Matthias & Hansj”rg Auer;;1 SL;"Die B186 queren auf H”he der ""Liftspur"". Dann ber die Wiese zu den bereits sichtbaren Eiszapfen.";Abseilen;"Viele M”glichkeiten. Mit Bohrhaken abgesichert. Weiter links die klassische ""Liftspur"" (WI6+). Siehe Bild.";15;https://ice.oetztalclimbing.com/topo/detail/mixed-klettergarten-liftspur.html;;N
18;Esso Mixed;47,07002952;10,97153602;1203.245849609375;Stefan Holzknecht & Reini Obweger;M6-M7;1 SL;;Abseilen;Zwei Routen an der orographisch rechten Seite. Mit Bohrhaken abgesichert.;299;https://ice.oetztalclimbing.com/topo/detail/esso-mixed.html;;NW
19;Badle;47,07002952;10,97153602;1203.245849609375;Stefan Holzknecht & Reini Obweger;WI5+;2 SL;;Abseilen;;15;https://ice.oetztalclimbing.com/topo/detail/badle.html;;N
