time,UU [m s-1],VV [m s-1],GL [W m-2],lat,lon
2025-10-01T00:00+00:00,0.77,-0.12,0.0,47.375584,10.947999
2025-10-01T01:00+00:00,1.27,-0.29,0.0,47.375584,10.947999
2025-10-01T02:00+00:00,1.45,-0.33,0.0,47.375584,10.947999
2025-10-01T03:00+00:00,1.55,-0.35,0.0,47.375584,10.947999
2025-10-01T04:00+00:00,1.49,-0.46,0.0,47.375584,10.947999
2025-10-01T05:00+00:00,0.99,-0.37,0.0,47.375584,10.947999
2025-10-01T06:00+00:00,0.87,-0.39,16.4,47.375584,10.947999
2025-10-01T07:00+00:00,1.41,-0.63,72.83,47.375584,10.947999
2025-10-01T08:00+00:00,2.01,-0.89,205.38,47.375584,10.947999
2025-10-01T09:00+00:00,1.86,-0.88,354.32,47.375584,10.947999
2025-10-01T10:00+00:00,2.14,-1.01,378.21,47.375584,10.947999
2025-10-01T11:00+00:00,1.0,-0.81,277.92,47.375584,10.947999
2025-10-01T12:00+00:00,1.12,-0.63,337.55,47.375584,10.947999
2025-10-01T13:00+00:00,2.62,-1.25,296.3,47.375584,10.947999
2025-10-01T14:00+00:00,2.06,-0.86,428.6,47.375584,10.947999
2025-10-01T15:00+00:00,2.41,-1.07,167.37,47.375584,10.947999
2025-10-01T16:00+00:00,1.43,-0.47,21.62,47.375584,10.947999
2025-10-01T17:00+00:00,0.7,-0.02,0.0,47.375584,10.947999
2025-10-01T18:00+00:00,-0.27,0.28,0.0,47.375584,10.947999
2025-10-01T19:00+00:00,-0.32,0.29,0.0,47.375584,10.947999
2025-10-01T20:00+00:00,-0.28,0.24,0.0,47.375584,10.947999
2025-10-01T21:00+00:00,-0.35,0.22,0.0,47.375584,10.947999
2025-10-01T22:00+00:00,-0.33,0.18,0.0,47.375584,10.947999
2025-10-01T23:00+00:00,-0.56,0.27,0.0,47.375584,10.947999
2025-10-02T00:00+00:00,-0.59,0.32,0.0,47.375584,10.947999
2025-10-02T01:00+00:00,-0.15,0.13,0.0,47.375584,10.947999
2025-10-02T02:00+00:00,-0.71,0.32,0.0,47.375584,10.947999
2025-10-02T03:00+00:00,-0.03,0.13,0.0,47.375584,10.947999
2025-10-02T04:00+00:00,-0.05,0.14,0.0,47.375584,10.947999
2025-10-02T05:00+00:00,-0.3,0.19,0.0,47.375584,10.947999
2025-10-02T06:00+00:00,0.01,0.11,19.57,47.375584,10.947999
2025-10-02T07:00+00:00,0.17,0.01,228.49,47.375584,10.947999
2025-10-02T08:00+00:00,0.07,-0.02,390.21,47.375584,10.947999
2025-10-02T09:00+00:00,0.52,-0.1,527.6,47.375584,10.947999
2025-10-02T10:00+00:00,-0.69,0.22,512.47,47.375584,10.947999
2025-10-02T11:00+00:00,0.56,-0.46,549.55,47.375584,10.947999
2025-10-02T12:00+00:00,1.11,-0.69,521.23,47.375584,10.947999
2025-10-02T13:00+00:00,1.05,-0.71,529.21,47.375584,10.947999
2025-10-02T14:00+00:00,1.87,-0.89,409.12,47.375584,10.947999
2025-10-02T15:00+00:00,0.34,-0.35,282.37,47.375584,10.947999
2025-10-02T16:00+00:00,-0.29,-0.13,18.12,47.375584,10.947999
2025-10-02T17:00+00:00,0.35,-0.05,0.0,47.375584,10.947999
2025-10-02T18:00+00:00,-0.72,0.28,0.0,47.375584,10.947999
2025-10-02T19:00+00:00,-0.75,0.33,0.0,47.375584,10.947999
2025-10-02T20:00+00:00,-0.88,0.38,0.0,47.375584,10.947999
2025-10-02T21:00+00:00,-0.74,0.34,0.0,47.375584,10.947999
2025-10-02T22:00+00:00,-1.06,0.4,0.0,47.375584,10.947999
2025-10-02T23:00+00:00,-1.4,0.53,0.0,47.375584,10.947999
2025-10-03T00:00+00:00,-1.13,0.48,0.0,47.375584,10.947999
2025-10-03T01:00+00:00,-1.09,0.46,0.0,47.375584,10.947999
2025-10-03T02:00+00:00,-0.8,0.49,0.0,47.375584,10.947999
2025-10-03T03:00+00:00,-0.65,0.51,0.0,47.375584,10.947999
2025-10-03T04:00+00:00,-0.36,0.3,0.0,47.375584,10.947999
2025-10-03T05:00+00:00,-0.37,0.33,0.0,47.375584,10.947999
2025-10-03T06:00+00:00,-0.54,0.45,19.9,47.375584,10.947999
2025-10-03T07:00+00:00,-0.33,0.23,236.51,47.375584,10.947999
2025-10-03T08:00+00:00,-0.72,0.23,394.74,47.375584,10.947999
2025-10-03T09:00+00:00,-0.61,0.2,534.59,47.375584,10.947999
2025-10-03T10:00+00:00,-0.23,-0.01,627.82,47.375584,10.947999
2025-10-03T11:00+00:00,0.83,-0.64,652.9,47.375584,10.947999
2025-10-03T12:00+00:00,0.97,-0.76,647.99,47.375584,10.947999
2025-10-03T13:00+00:00,1.05,-0.71,565.33,47.375584,10.947999
2025-10-03T14:00+00:00,1.41,-0.74,444.19,47.375584,10.947999
2025-10-03T15:00+00:00,1.95,-0.72,256.06,47.375584,10.947999
2025-10-03T16:00+00:00,0.85,-0.3,21.85,47.375584,10.947999
2025-10-03T17:00+00:00,-0.1,0.13,0.0,47.375584,10.947999
2025-10-03T18:00+00:00,-0.21,0.26,0.0,47.375584,10.947999
2025-10-03T19:00+00:00,0.31,0.22,0.0,47.375584,10.947999
2025-10-03T20:00+00:00,0.54,0.16,0.0,47.375584,10.947999
2025-10-03T21:00+00:00,0.53,0.25,0.0,47.375584,10.947999
2025-10-03T22:00+00:00,1.04,0.03,0.0,47.375584,10.947999
2025-10-03T23:00+00:00,0.7,0.12,0.0,47.375584,10.947999
