time,t2m [degree Celsius],rh2m [%],u10m [m s-1],v10m [m s-1],grad [Ws m-2],lat,lon
2026-01-21T06:00+00:00,-8.1,52.23,1.4,-0.4,,46.83300000000015,11.069999999999917
2026-01-21T07:00+00:00,-7.6,48.02,1.3,-0.6,639.0,46.83300000000015,11.069999999999917
2026-01-21T08:00+00:00,-7.7,45.1,0.6,-0.5,254093.4,46.83300000000015,11.069999999999917
2026-01-21T09:00+00:00,-7.7,44.22,-0.2,-0.2,933812.3,46.83300000000015,11.069999999999917
2026-01-21T10:00+00:00,-7.3,41.15,-0.7,-0.1,1974511.7,46.83300000000015,11.069999999999917
2026-01-21T11:00+00:00,-7.2,40.87,-0.6,0.8,3272505.8,46.83300000000015,11.069999999999917
2026-01-21T12:00+00:00,-6.9,42.86,-0.4,0.6,4658825.0,46.83300000000015,11.069999999999917
2026-01-21T13:00+00:00,-7.0,45.95,-0.5,0.9,5961299.3,46.83300000000015,11.069999999999917
2026-01-21T14:00+00:00,-7.3,46.73,-0.1,0.3,7053201.7,46.83300000000015,11.069999999999917
2026-01-21T15:00+00:00,-7.3,39.2,0.5,-0.3,7814845.2,46.83300000000015,11.069999999999917
2026-01-21T16:00+00:00,-7.8,44.39,0.3,0.0,8079180.3,46.83300000000015,11.069999999999917
2026-01-21T17:00+00:00,-8.0,43.86,0.2,0.0,8079180.3,46.83300000000015,11.069999999999917
2026-01-21T18:00+00:00,-8.0,38.49,0.0,0.3,8079180.3,46.83300000000015,11.069999999999917
2026-01-21T19:00+00:00,-7.6,30.88,-0.4,1.5,8079180.3,46.83300000000015,11.069999999999917
2026-01-21T20:00+00:00,-7.5,28.55,-0.4,1.5,8079180.3,46.83300000000015,11.069999999999917
2026-01-21T21:00+00:00,-7.6,29.09,-0.4,1.6,8079180.3,46.83300000000015,11.069999999999917
2026-01-21T22:00+00:00,-7.9,37.92,-0.9,1.8,8079180.3,46.83300000000015,11.069999999999917
2026-01-21T23:00+00:00,-8.3,46.15,-1.0,2.2,8079180.3,46.83300000000015,11.069999999999917
2026-01-22T00:00+00:00,-8.3,37.96,-0.7,2.3,8079180.3,46.83300000000015,11.069999999999917
2026-01-22T01:00+00:00,-8.2,32.86,-0.7,2.2,8079180.3,46.83300000000015,11.069999999999917
2026-01-22T02:00+00:00,-8.2,31.2,-0.6,1.8,8079180.3,46.83300000000015,11.069999999999917
